raw_week_label,week_label,week_start,week_end,year,week_number,month_number,month_label,quarter_label,display_label
2017W53,2017W53,2017-12-31,2018-01-06,2017,53,12,Dec 2017,Q4,2017 Week 53
2018W02,2018W02,2018-01-07,2018-01-13,2018,2,1,Jan 2018,Q1,2018 Week 02
2018W03,2018W03,2018-01-14,2018-01-20,2018,3,1,Jan 2018,Q1,2018 Week 03
2018W04,2018W04,2018-01-21,2018-01-27,2018,4,1,Jan 2018,Q1,2018 Week 04
2018W05,2018W05,2018-01-28,2018-02-03,2018,5,1,Jan 2018,Q1,2018 Week 05
2018W06,2018W06,2018-02-04,2018-02-10,2018,6,2,Feb 2018,Q1,2018 Week 06
2018W07,2018W07,2018-02-11,2018-02-17,2018,7,2,Feb 2018,Q1,2018 Week 07
2018W08,2018W08,2018-02-18,2018-02-24,2018,8,2,Feb 2018,Q1,2018 Week 08
2018W09,2018W09,2018-02-25,2018-03-03,2018,9,2,Feb 2018,Q1,2018 Week 09
2018W10,2018W10,2018-03-04,2018-03-10,2018,10,3,Mar 2018,Q1,2018 Week 10
2018W11,2018W11,2018-03-11,2018-03-17,2018,11,3,Mar 2018,Q1,2018 Week 11
2018W12,2018W12,2018-03-18,2018-03-24,2018,12,3,Mar 2018,Q1,2018 Week 12
2018W13,2018W13,2018-03-25,2018-03-31,2018,13,3,Mar 2018,Q1,2018 Week 13
2018W14,2018W14,2018-04-01,2018-04-07,2018,14,4,Apr 2018,Q2,2018 Week 14
2018W15,2018W15,2018-04-08,2018-04-14,2018,15,4,Apr 2018,Q2,2018 Week 15
2018W16,2018W16,2018-04-15,2018-04-21,2018,16,4,Apr 2018,Q2,2018 Week 16
2018W17,2018W17,2018-04-22,2018-04-28,2018,17,4,Apr 2018,Q2,2018 Week 17
2018W18,2018W18,2018-04-29,2018-05-05,2018,18,4,Apr 2018,Q2,2018 Week 18
2018W19,2018W19,2018-05-06,2018-05-12,2018,19,5,May 2018,Q2,2018 Week 19
2018W20,2018W20,2018-05-13,2018-05-19,2018,20,5,May 2018,Q2,2018 Week 20
2018W21,2018W21,2018-05-20,2018-05-26,2018,21,5,May 2018,Q2,2018 Week 21
2018W22,2018W22,2018-05-27,2018-06-02,2018,22,5,May 2018,Q2,2018 Week 22
2018W23,2018W23,2018-06-03,2018-06-09,2018,23,6,Jun 2018,Q2,2018 Week 23
2018W24,2018W24,2018-06-10,2018-06-16,2018,24,6,Jun 2018,Q2,2018 Week 24
2018W25,2018W25,2018-06-17,2018-06-23,2018,25,6,Jun 2018,Q2,2018 Week 25
2018W26,2018W26,2018-06-24,2018-06-30,2018,26,6,Jun 2018,Q2,2018 Week 26
