asin_id,canonical_week_id,week_start_date,dq_misplaced_id,dq_unmapped_week,dq_numeric_cast_fail,dq_missing_item_name,dq_inferred_category,dq_missing_category,dq_unknown_asin,dq_unknown_vendor,dq_unknown_category,dq_contra_mapping_broken,dq_buyability_missing,dq_missing,dq_invalid_ids,dq_numeric_issues,dq_impossible_values,dq_out_of_range,dq_unbuyable,dq_category_mismatch,dq_week_coverage_low,dq_inferred_brand,dq_missing_brand,dq_category_conflict,dq_category_inferred,dq_archetype_unassigned,dq_unknown_brand,dq_inventory_risk,dq_invalid_vendor_code,dq_severity,dq_severity,is_valid_row
B0041VRQWO,,,False,True,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Medium,Medium,True
B086DV7D1W,,,False,True,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Medium,Medium,True
B09P8GQ4TK,,,False,True,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Medium,Medium,True
B086DVXG5K,,,False,True,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Medium,Medium,True
B07TDTX4R2,,,False,True,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Medium,Medium,True
B079883KZY,,,False,True,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Medium,Medium,True
B07P8ZBNTX,,,False,True,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Medium,Medium,True
B0CWZ9Q3KR,,,False,True,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Medium,Medium,True
B07DLFZW31,,,False,True,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Medium,Medium,True
B08MBD4175,,,False,True,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Medium,Medium,True
B08MKX6G7G,,,False,True,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Medium,Medium,True
B00RYLMVDW,,,False,True,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Medium,Medium,True
B01L1QNQEI,,,False,True,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Medium,Medium,True
B0BFBDDGGN,,,False,True,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Medium,Medium,True
B0BVQBSBV8,,,False,True,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Medium,Medium,True
B07MHKBDJV,,,False,True,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Medium,Medium,True
B08H321LHY,,,False,True,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Medium,Medium,True
B07P6YJPPG,,,False,True,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Medium,Medium,True
B07DLCVM1H,,,False,True,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Medium,Medium,True
B072HWGV31,,,False,True,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Medium,Medium,True
B07MTSLXVX,,,False,True,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Medium,Medium,True
B079974J1R,,,False,True,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Medium,Medium,True
B07DLJB7PC,,,False,True,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Medium,Medium,True
B084MM33XK,,,False,True,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Medium,Medium,True
B07BYNX1P6,,,False,True,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Medium,Medium,True
B07Q5X3YD1,,,False,True,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Medium,Medium,True
B0881MBW3P,,,False,True,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Medium,Medium,True
B07MV32JLH,,,False,True,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Medium,Medium,True
B07MQDNJHS,,,False,True,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Medium,Medium,True
B00GKX89SQ,,,False,True,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Medium,Medium,True
B00GKX89QI,,,False,True,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Medium,Medium,True
B07CZCM4VZ,,,False,True,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Medium,Medium,True
B07FSPH47X,,,False,True,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Medium,Medium,True
B07PKDH8PT,,,False,True,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Medium,Medium,True
B07Z7GQJBF,,,False,True,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Medium,Medium,True
B087GK96DX,,,False,True,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Medium,Medium,True
B005LLZ3QY,,,False,True,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Medium,Medium,True
B019Z95UCO,,,False,True,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Medium,Medium,True
B07DLNH6L2,,,False,True,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Medium,Medium,True
B07CXJZVRR,,,False,True,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Medium,Medium,True
B00XMYTY0S,,,False,True,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Medium,Medium,True
B07PB4J8MG,,,False,True,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Medium,Medium,True
B087GM93C9,,,False,True,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Medium,Medium,True
B09MWMV1DG,,,False,True,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Medium,Medium,True
B07M85KKJ4,,,False,True,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Medium,Medium,True
B07P6QJ4ZS,,,False,True,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Medium,Medium,True
B07NF8B82T,,,False,True,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Medium,Medium,True
B08BFBXQGZ,,,False,True,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Medium,Medium,True
B07NF7MFKX,,,False,True,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Medium,Medium,True
