vendor_code,vendor_name,asin,item_name_raw,item_name_clean,brand,category,sub_category,pack_size,pack_unit,notes
T072Y,Champions,B08MBD4175,"Vitamin Well Upgrade Lemon/Cactus Vitamin B12 + D Magnesium + Zinc (VW Upgrade 500ML, Pack of 12)",Vitamin Well Upgrade Lemon/Cactus,,,,,,
T072Y,Champions,B086DVXG5K,"Vitamin Well Care Red Grapefruit Vitamin B12 + Zinc + Biotin + Folic Acid (VW CARE 500ML, Pack of 12)",Vitamin Well Care Red Grapefruit ,,,,,,
T072Y,Champions,B086DV7D1W,Vitamin Well Hydrate Rhubarb/Strawberry Vitamin C + D Zinc + Biotin (VW HYDRATE 500ML Pack of 12),Vitamin Well Hydrate Rhubarb/Stra,,,,,,
T072Y,Champions,B07DLJB7PC,Barebells Protein Milkshake 8 x 330ml Bottles| High Protein Shake | No Added Sugar | Lactose Free| 24g of Protein | Delicious Creamy Flavour (Banana),Barebells Protein Milkshake 8 x 3,,,,,,
T072Y,Champions,B0DMTC4NQB,Castello since 1907 - zero calorie liquid sweetener with Stevia - 30ml,Castello since 1907 - zero calori,,,,,,
T072Y,Champions,B0DTGMM5L1,Castello Since 1907 - Zero Calorie Stevia Sweetener - 300g,Castello Since 1907 - Zero Calori,,,,,,
T072Y,Champions,B0CH8RF9RZ,"Barebells Vegan Hazelnut & Nougat Protein Bar, 55g",Barebells Vegan Hazelnut & Nougat,,,,,,
T072Y,Champions,B0F331Z81L,"Barebells Protein Shake – 24g High Protein Milkshake, Lactose-Free, Ready to Drink, Low Carb – 8x330ml (Cookies & Cream)",Barebells Protein Shake – 24g Hig,,,,,,
T072Y,Champions,B0FS7DHXXJ,Vitamin Well Upgrade Lemon Cactus Flavor Vitamin B12 + D Magnesium + Zinc Low Calorie Drink 500 ml,Vitamin Well Upgrade Lemon Cactus,,,,,,
T072Y,Champions,B09FX1D4PF,Vitamin Well Drink Reload Lemon and Lime Piece Vitamin B + D Magnesium + Zinc (VW RELOAD 500ML),Vitamin Well Drink Reload Lemon a,,,,,,
T072Y,Champions,B07X5MH1BM,"Vitamin Well Antioxidant | Vitamin C + E, Selenium + Manganese | Healthy Drink | Functional Drinks | Protect your Body Cells – With a taste of Peach (Antioxidant | Peach, Pack of 12)",Vitamin Well Antioxidant | Vitami,,,,,,
T072Y,Champions,B08MKX6G7G,"Vitamin Well Reload Lemon/Lime Vitamin B + D Magnesium + Zinc (VW RELOAD 500ML, Pack of 12) Package design may vary",Vitamin Well Reload Lemon/Lime Vi,,,,,,
T072Y,Champions,B0BVQBSBV8,Barebells Barbells Protein Bars 55g x 12 Bars (Marshmallow),Barebells Barbells Protein Bars 5,,,,,,
T072Y,Champions,B07DLFZW31,Barebells Protein Milkshake 8 x 330ml Bottles| High Protein Shake | No Added Sugar | Lactose Free| 24g of Protein | Delicious Creamy Flavour (Chocolate),Barebells Protein Milkshake 8 x 3,,,,,,
T072Y,Champions,B0BFBDDGGN,Barebells Barbells Protein Bars 55g x 12 Bars (Soft Caramel),Barebells Barbells Protein Bars 5,,,,,,
T072Y,Champions,B072HWGV31,"Barebells Caramel Cashew High Protein and Low Carb Bar, 12 x 55g (1,94 oz) Low Sugar Snack P",Barebells Caramel Cashew High Pro,,,,,,
T072Y,Champions,B07MHKBDJV,Barebells Protein Milkshake 8 x 330ml Bottles| High Protein Shake | No Added Sugar | Lactose Free| 24g of Protein | Delicious Creamy Flavour (Vanilla),Barebells Protein Milkshake 8 x 3,,,,,,
T072Y,Champions,B07DLCVM1H,Barebells Protein Milkshake 8 x 330ml Bottles| High Protein Shake | No Added Sugar | Lactose Free| 24g of Protein | Delicious Creamy Flavour (STRAWBERRY),Barebells Protein Milkshake 8 x 3,,,,,,
T072Y,Champions,B07DLNH6L2,"Barebells Cookies & Cream High Protein and Low Carb Bar - 12 x 55g (1,94 oz) Low Sugar Snack Protein Bar with 20g protein",Barebells Cookies & Cream High Pr,,,,,,
T072Y,Champions,B088N7FT19,"Barebells Vegan Salty Peanut High Protein and Low Carb Bar, 12 x 55g (1,94 oz) No Sugar Snack Protein Bar with 15g protein",Barebells Vegan Salty Peanut High,,,,,,
T072Y,Champions,B088NNZW7B,"Barebells Vegan Hazelnut Nougat High Protein and Low Carb Bar, 12 x 55g (1,94 oz) No Sugar Snack Protein Bar with 15g protein",Barebells Vegan Hazelnut Nougat H,,,,,,
T072Y,Champions,B07FSPH47X,"Barebells White Chocolate Almond High Protein and Low Carb Bar, 12 x 55g (1,94 oz) Low Sugar Snack Protein Bar with 20g protein",Barebells White Chocolate Almond ,,,,,,
T072Y,Champions,B0DXBYBZN4,Vitamin Well Reload Lemon and Lime Drink 500ml Pack of 6,Vitamin Well Reload Lemon and Lim,,,,,,
T072Y,Champions,B07CD4K7HM,Rip Van Wafels Snickerdoodle Stroopwafels - Healthy Snacks Non GMO Snack Keto Friendly Office Low Sugar (3g) Calorie 12 Pack,Rip Van Wafels Snickerdoodle Stro,,,,,,
T072Y,Champions,B0DQR5L658,Castello since 1907 - Zero Calorie Stevia Sweetener - box of 60 sachets,Castello since 1907 - Zero Calori,,,,,,
T072Y,Champions,B0DTGL5G3D,Castello since 1907 - Zero Calorie Stevia Sweetener - box of 100 sachets,Castello since 1907 - Zero Calori,,,,,,
T072Y,Champions,B0CBKW4ZYB,"Barebells Salty Peanut Protein Bar, High Protein and Low Carb Bar, 12 x 55g (1,94 oz) Low Sugar Snack Protein Bar with 20g protein",Barebells Salty Peanut Protein Ba,,,,,,
T072Y,Champions,B0BYZS6GLT,Barebells Rocky Road Nutty Marshmellow Soft Protein Bar 55g,Barebells Rocky Road Nutty Marshm,,,,,,
T072Y,Champions,B0DXBRHMXT,Vitamin Well Hydrate Rhubarb and Strawberry Drink 500ml Pack of 6,Vitamin Well Hydrate Rhubarb and ,,,,,,
T072Y,Champions,B0977KZXYC,"Barebells DoubleBite Chocolate Crisp High Protein and Low Carb Bar, 12 x 55g 1,94 oz Low Sugar Snack Protein Bar with 16g protein Blue",Barebells DoubleBite Chocolate Cr,,,,,,
T072Y,Champions,B0D1HBJF5R,"Barebells Protein Cookies and Caramel - 12 Count, 1.9oz Bars - Protein Snacks with 20g of High Protein - Chocolate Protein Bar with 1g of Total Sugars - On The Go Protein Snack & Breakfast Bars",Barebells Protein Cookies and Car,,,,,,
T072Y,Champions,B01MQJPAOU,Rip Van Wafels Honey and Oats Stroopwafels - Healthy Snacks - Non GMO Snack - Keto Friendly - Office Snacks - Low Sugar (3g) - Low Calorie Snack - 12 Pack,Rip Van Wafels Honey and Oats Str,,,,,,
T072Y,Champions,B0CGK3WVSK,Barebells Barbells Protein Bars 55g x 12 Bars (Soft Salted Peanut Caramel),Barebells Barbells Protein Bars 5,,,,,,
T072Y,Champions,B07M85KKJ4,"Barebells Hazelnut & Nougat High Protein and Low Carb Bar, 12 x 55g (1,94 oz) Low Sugar Snack Protein Bar with 20g protein",Barebells Hazelnut & Nougat High ,,,,,,
T072Y,Champions,B07TDTX4R2,"Barebells Salty Peanut Protein Bar, High Protein and Low Carb Bar, 12 x 55g (1,94 oz) Low Sugar Snack Protein Bar with 20g protein",Barebells Salty Peanut Protein Ba,,,,,,
T072Y,Champions,B0DTDTZGMQ,"Barebells Protein Bars, Creamy Crisp - Bars with 20g of High Protein - Perfect on The Go Protein Snack & Breakfast Bar, 55g","Barebells Protein Bars, Creamy Cr",,,,,,
T072Y,Champions,B0D3QVP733,Barbells Soft Bar Caramel Choco 55g,Barbells Soft Bar Caramel Choco 5,,,,,,
T072Y,Champions,B07Q4Q591H,"Barebells Salty Peanut High Protein and Low Carb Bar, 55g (1,94 oz) Low Sugar Snack Protein Bar with 20g protein",Barebells Salty Peanut High Prote,,,,,,
T072Y,Champions,B0DQLLVRXB,"Barebells Cookies & Cream Protein Bar, 55g",Barebells Cookies & Cream Protein,,,,,,
T072Y,Champions,B07Q4QJ7KV,"Barebells Cookies & Cream High Protein and Low Carb Bar, 55g (1,94 oz) Low Sugar Snack Protein Bar with 20g protein",Barebells Cookies & Cream High Pr,,,,,,
T072Y,Champions,B0DWXBKCLF,"QMIN*C Ginger Flavor Juice Drink, Pack of 6, 150ml Each, 900ml Total, Bottle Container, Immunity & Energy Booster","QMIN*C Ginger Flavor Juice Drink,",,,,,,
T072Y,Champions,B0DN9HZPYH,"Barebells Chocolate Protein Milkshake, 330 ml",Barebells Chocolate Protein Milks,,,,,,
T072Y,Champions,B0F13HJBN1,"Lacnor Mix Berries Fruit Drink, 180ml","Lacnor Mix Berries Fruit Drink, 1",,,,,,
T072Y,Champions,B07Q3S7RLD,Barebells Caramel Cashew Protein Bar - High Protein and Low Carb Bar - 55g Protein Bar with 20g protein,Barebells Caramel Cashew Protein ,,,,,,
T072Y,Champions,B0F793ZNSD,"Barebells Protein Bars, 16g Protein, Sugar Free Chocolate, Low Carb, 12 Pack x 55g, Coco Choco Flavour","Barebells Protein Bars, 16g Prote",,,,,,
T072Y,Champions,B07G4GNKHT,"Barebells White Chocolate Almond Protein Bar, 55g",Barebells White Chocolate Almond ,,,,,,
T072Y,Champions,B07WRL9XZG,"Barebells Hazelnut & Nougat High Protein and Low Carb Bar, Low Sugar Snack Protein Bar with 20g protein, 55g",Barebells Hazelnut & Nougat High ,,,,,,
T072Y,Champions,B07Q6Z4LPB,"Barebells White Chocolate Almond High Protein and Low Carb Bar, 55g Low Sugar Snack Protein Bar with 20g protein",Barebells White Chocolate Almond ,,,,,,
T072Y,Champions,B0CH8T3XXZ,"Barebells Vegan Salty Peanut Protein Bar, 55g",Barebells Vegan Salty Peanut Prot,,,,,,
T072Y,Champions,B09MWMV1DG,"Barebells White Salty Peanut High Protein and Low Carb Bar, 12 x 55g (1,94 oz) Low Sugar Snack Protein Bar with 20g protein",Barebells White Salty Peanut High,,,,,,
T072Y,Champions,B09FX639YN,QualityFood Vitamin Well Drink Antioxidant Peach 500ml Piece,QualityFood Vitamin Well Drink An,,,,,,
T072Y,Champions,B0BD8QGVR6,"Barebells White Salty Peanut High Protein and Low Carb Bar, Low Sugar Snack Protein Bar with 20g protein, 55g",Barebells White Salty Peanut High,,,,,,
T072Y,Champions,B09FX76VQN,Vitamin Well Hydrate Rhubarb/Strawberry Vitamin C + D Zinc + Biotin 500ML,Vitamin Well Hydrate Rhubarb/Stra,,,,,,
T072Y,Champions,B01N531XR0,Rip Van Wafels Dutch Caramel & Vanilla Stroopwafels - Healthy Snacks - Non GMO Snack - Keto Friendly - Office Snacks - Low Sugar (3g) - Low Calorie Snack - 12 Count,Rip Van Wafels Dutch Caramel & Va,,,,,,
T072Y,Champions,B07KDKSTS7,"Barebells Protein Bars Caramel Cashew, 1.9oz Bars with 20g of High Protein - Chocolate Protein Bar with 1g of Total Sugars - Perfect on The Go Protein Snack & Breakfast Bar, 55g",Barebells Protein Bars Caramel Ca,,,,,,
UNW77,United,B0DHD7YZ1F,Deep Fresh Baby Wipes Lovely Baby Flip-Top Pack,Deep Fresh Baby Wipes Lovely Baby,,,,,,
UNW77,United,B07NDNRNTD,"Revlon Padel Brush, RV2979UKE3","Revlon Padel Brush, RV2979UKE3",,,,,,
UNW77,United,B08Y8HDXQP,"Revlon All Purpose Hair Brush, RV2975UKE3","Revlon All Purpose Hair Brush, RV",,,,,,
UNW77,United,B07MW1H752,"Revlon Hair Brush, RV2974UKE3","Revlon Hair Brush, RV2974UKE3",,,,,,
UNW77,United,B07NDPFNSX,"Revlon Oval Brush, RV2980UKE3","Revlon Oval Brush, RV2980UKE3",,,,,,
UNW77,United,B07NDPBD8W,"Revlon Flat Bristal Hair Brush, RV2976UKE3","Revlon Flat Bristal Hair Brush, R",,,,,,
UNW77,United,B08Y8GY8W8,"Revlon Medium Tooth Comb, RV3000UKE","Revlon Medium Tooth Comb, RV3000U",,,,,,
UNW77,United,B01518XZPM,"Flying Goose Sriracha Super Hot Chilli Sauce, 455ml",Flying Goose Sriracha Super Hot C,,,,,,
UNW77,United,B07NDNWN6P,"Revlon All Purpose Hair Brush, RV2982UKE3","Revlon All Purpose Hair Brush, RV",,,,,,
UNW77,United,B07NDP4MYC,"Revlon Padel Hair Brush, RV2977UKE3","Revlon Padel Hair Brush, RV2977UK",,,,,,
UNW77,United,B087S5SKFB,"Deep Fresh Liquid Hand Wash Fig Fragrance, 500ml",Deep Fresh Liquid Hand Wash Fig F,,,,,,
UNW77,United,B087S59DTX,"Deep Fresh Liquid Hand Wash Grape Fragrance, 500ml",Deep Fresh Liquid Hand Wash Grape,,,,,,
UNW77,United,B087S5BVMD,"Deep Fresh Liquid Hand Wash Lemon Fragrance, 500ml",Deep Fresh Liquid Hand Wash Lemon,,,,,,
UNW77,United,B086LZYR12,"Aseel Premium Tahina, 450gm","Aseel Premium Tahina, 450gm",,,,,,
UNW77,United,B08N7RHFKR,"Deep Fresh Herbal Shampoo Coconut, 500ml",Deep Fresh Herbal Shampoo Coconut,,,,,,
UNW77,United,B087S4ZLJ2,"Deep Fresh Herbal Shampoo Olive, 500ml","Deep Fresh Herbal Shampoo Olive, ",,,,,,
UNW77,United,B087SPHVF1,"Supersun Cooking & Frying Oil, 1.8 L","Supersun Cooking & Frying Oil, 1.",,,,,,
UNW77,United,B07PKDLS5C,Aseel Pure Butter Ghee 400ml,Aseel Pure Butter Ghee 400ml,,,,,,
UNW77,United,B08W5G6S6G,"Nawar Sunflower Oil, 1.5 Litres","Nawar Sunflower Oil, 1.5 Litres",,,,,,
UNW77,United,B07NF63VRH,"Aseel Extra Virgin Olive Oil, 500 ml","Aseel Extra Virgin Olive Oil, 500",,,,,,
UNW77,United,B08W5G24JK,"Aseel Canola Oil, 1.5 Litre PET","Aseel Canola Oil, 1.5 Litre PET",,,,,,
UNW77,United,B08W5HWPVV,"Safi Corn Oil, 1.5 Litre PET","Safi Corn Oil, 1.5 Litre PET",,,,,,
UNW77,United,B07PH34VMB,"Aseel Premium Tahina, 900 gm","Aseel Premium Tahina, 900 gm",,,,,,
UNW77,United,B07NDN6XYT,"Revlon Tunnel Vent Hair Brush, RV2981UKE3","Revlon Tunnel Vent Hair Brush, RV",,,,,,
UNW77,United,B08W5HJY38,"Aseel Canola Oil, Twin Combo Pack of 2 x 1.5 Litres PET","Aseel Canola Oil, Twin Combo Pack",,,,,,
UNW77,United,B07NF7YZT2,"SuperSun Cooking Oil, 5 Litre, 5 liter","SuperSun Cooking Oil, 5 Litre, 5 ",,,,,,
UNW77,United,B08X6FLZHT,REVLON BCA Vision Square Hand Mirror,REVLON BCA Vision Square Hand Mir,,,,,,
UNW77,United,B086M21NGT,Aseel Pure Butter Ghee 800ml,Aseel Pure Butter Ghee 800ml,,,,,,
UNW77,United,B08GGNN8ZB,"Flying Goose Salsa De Chile Sriracha, Black Pepper 225 g",Flying Goose Salsa De Chile Srira,,,,,,
UNW77,United,B08W5J7NN6,"Safi Corn Oil, Twin Combo Pack of 2 x 1.5 Litre PET","Safi Corn Oil, Twin Combo Pack of",,,,,,
UNW77,United,B08W5G5HG6,"Aseel Corn Oil, 1.5 Litre","Aseel Corn Oil, 1.5 Litre",,,,,,
UNW77,United,B08W5J54WM,"Nawar Sunflower Oil, 4 Litres PET","Nawar Sunflower Oil, 4 Litres PET",,,,,,
UNW77,United,B088HQT72Q,"Nawar Sunflower Oil, 5 Litre","Nawar Sunflower Oil, 5 Litre",,,,,,
UNW77,United,B07P8BRHXT,"Safi Corn Oil, 5 Liter","Safi Corn Oil, 5 Liter",,,,,,
UNW77,United,B086TH1NWD,Aseel Pure Butter Ghee 1.6Litre,Aseel Pure Butter Ghee 1.6Litre,,,,,,
UNW77,United,B07PFXKWCH,"Aseel Pomace Olive Oil, 5 Liter","Aseel Pomace Olive Oil, 5 Liter",,,,,,
UNW77,United,B0BZPRDN9L,"Aseel Pure Ghee, 800ml +10% Extra","Aseel Pure Ghee, 800ml +10% Extra",,,,,,
UNW77,United,B0D4V9RSP5,"Aseel Pure Ghee, Twin Pack of 2 x 400ml","Aseel Pure Ghee, Twin Pack of 2 x",,,,,,
UNW77,United,B0BZRX9N9V,"Aseel Vegetable Ghee, 1.15 Litre","Aseel Vegetable Ghee, 1.15 Litre",,,,,,
UNW77,United,B0D6R954TN,"Aseel Canola Oil, 3 Litres","Aseel Canola Oil, 3 Litres",,,,,,
UNW77,United,B0FDGJFSFJ,Aseel Premium Tahina Combo 2 x 450 g,Aseel Premium Tahina Combo 2 x 45,,,,,,
UNW77,United,B0FDGKJVS1,Mumtaz Evaporated Milk 48 x 170 g,Mumtaz Evaporated Milk 48 x 170 g,,,,,,
UNW77,United,B0D6R972QL,"Nawar Sunflower Oil, 3 Litres","Nawar Sunflower Oil, 3 Litres",,,,,,
UNW77,United,B0D5D11GKZ,"Aseel Vegetable Ghee, 2.3 Litres","Aseel Vegetable Ghee, 2.3 Litres",,,,,,
UNW77,United,B0D6R8MSVW,"Mumtaz Vegetable Oil, 5 Litres HDPE bottle","Mumtaz Vegetable Oil, 5 Litres HD",,,,,,
UNW77,United,B0DH1SYNVQ,"Aseel Vegetable Ghee, Twin Pack of 2 x 500ml","Aseel Vegetable Ghee, Twin Pack o",,,,,,
UNW77,United,B09BLYMFPT,"Supersun Cooking Oil, 4 L PET (Promo)","Supersun Cooking Oil, 4 L PET (Pr",,,,,,
UNW77,United,B0FDGG133S,Aseel Extra Virgin Olive Oil 2 x 500 ml,Aseel Extra Virgin Olive Oil 2 x ,,,,,,
UNW77,United,B0D6R8Z9C3,"Aseel Corn Oil, 1.5L","Aseel Corn Oil, 1.5L",,,,,,
UNW77,United,B0D5D1P8XQ,"Aseel Vegetable Ghee, 2 Litres","Aseel Vegetable Ghee, 2 Litres",,,,,,
UNW77,United,B0BRVJF524,"Aseel Vegetable Ghee, 1 Litre","Aseel Vegetable Ghee, 1 Litre",,,,,,
UNW77,United,B0D6VF9843,"Flying Goose Sriracha Sweet Chilli, 200ml",Flying Goose Sriracha Sweet Chill,,,,,,
